iter	Passed	Remaining
167	3471	37860
168	3492	37840
169	3512	37816
170	3531	37771
171	3550	37731
172	3568	37689
173	3588	37656
174	3609	37643
175	3632	37649
176	3651	37610
177	3671	37583
178	3692	37566
179	3712	37542
180	3731	37503
181	3750	37461
182	3768	37415
183	3786	37372
184	3806	37343
185	3823	37293
186	3841	37244
187	3854	37153
188	3873	37114
189	3892	37084
190	3912	37055
191	3934	37054
192	3954	37025
193	3973	36988
194	3992	36956
195	4015	36959
196	4034	36927
197	4053	36890
198	4072	36856
199	4091	36820
200	4109	36780
201	4128	36743
202	4146	36706
203	4164	36663
204	4183	36632
205	4202	36600
206	4221	36566
207	4241	36541
208	4261	36514
209	4280	36484
210	4299	36453
211	4323	36467
212	4342	36435
213	4364	36421
214	4382	36384
215	4400	36345
216	4419	36316
217	4438	36280
218	4457	36250
219	4476	36216
220	4494	36183
221	4519	36195
222	4540	36179
223	4559	36149
224	4578	36115
225	4597	36085
226	4616	36053
227	4634	36020
228	4653	35989
229	4672	35960
230	4692	35932
231	4710	35896
232	4728	35862
233	4747	35829
234	4766	35801
235	4786	35773
236	4805	35749
237	4825	35726
238	4845	35699
239	4864	35672
240	4883	35644
241	4903	35621
242	4924	35607
243	4942	35569
244	4965	35566
245	4983	35531
246	5001	35498
247	5019	35459
248	5036	35417
249	5054	35378
250	5072	35344
251	5090	35309
252	5109	35282
253	5129	35259
254	5147	35225
255	5165	35191
256	5184	35161
257	5202	35129
258	5220	35094
259	5240	35067
260	5260	35047
261	5280	35026
262	5299	35001
263	5317	34967
264	5337	34945
265	5355	34914
266	5373	34877
267	5392	34847
268	5411	34822
269	5430	34796
270	5450	34776
271	5471	34759
272	5491	34740
273	5512	34724
274	5532	34706
275	5555	34699
276	5575	34682
277	5596	34664
278	5616	34646
279	5635	34617
280	5654	34589
281	5673	34563
282	5692	34535
283	5710	34506
284	5729	34479
285	5749	34454
286	5767	34425
287	5787	34402
288	5820	34457
289	5841	34446
290	5863	34434
291	5883	34416
292	5905	34402
293	5926	34387
294	5947	34376
295	5967	34352
296	5986	34324
297	6005	34298
298	6023	34267
299	6047	34267
300	6066	34242
301	6086	34220
302	6105	34192
303	6124	34169
304	6144	34148
305	6164	34128
306	6185	34110
307	6206	34095
308	6227	34080
309	6249	34069
310	6274	34073
311	6298	34073
312	6327	34102
313	6352	34111
314	6375	34103
315	6402	34118
316	6428	34128
317	6467	34207
318	6493	34218
319	6543	34352
320	6569	34361
321	6595	34372
322	6618	34360
323	6638	34337
324	6679	34423
325	6700	34404
326	6720	34383
327	6747	34394
328	6774	34410
329	6799	34409
330	6827	34423
331	6848	34406
332	6869	34387
333	6889	34364
334	6913	34358
335	6946	34402
336	6966	34377
337	7003	34436
338	7022	34409
339	7044	34393
340	7081	34451
341	7102	34432
342	7134	34467
343	7158	34458
344	7178	34436
345	7203	34437
346	7239	34485
347	7259	34460
348	7291	34494
349	7311	34468
350	7332	34447
351	7352	34424
352	7375	34411
353	7399	34404
354	7417	34370
355	7437	34344
356	7455	34313
357	7474	34280
358	7492	34249
359	7509	34209
360	7526	34172
361	7546	34148
362	7574	34157
363	7593	34128
364	7612	34097
365	7630	34065
366	7651	34045
367	7677	34050
368	7696	34020
369	7715	33990
370	7736	33969
371	7755	33939
372	7775	33916
373	7797	33898
374	7816	33871
375	7836	33846
376	7856	33823
377	7877	33802
378	7895	33768
379	7917	33752
380	7936	33723
381	7955	33695
382	7973	33664
383	7989	33622
384	8006	33585
385	8026	33561
386	8046	33535
387	8067	33518
388	8089	33501
389	8108	33472
390	8127	33444
391	8147	33419
392	8169	33406
393	8188	33378
394	8207	33349
395	8227	33324
396	8247	33301
397	8271	33293
398	8303	33317
399	8333	33332
400	8373	33391
401	8404	33408
402	8437	33435
403	8465	33444
404	8497	33464
405	8525	33471
406	8558	33499
407	8601	33561
408	8627	33561
409	8654	33561
410	8688	33591
411	8711	33576
412	8731	33551
413	8750	33522
414	8769	33494
415	8786	33457
416	8806	33430
417	8827	33407
418	8848	33389
419	8870	33371
420	8889	33339
421	8908	33311
422	8928	33288
423	8954	33285
424	8973	33253
425	8993	33228
426	9014	33209
427	9039	33200
428	9061	33184
429	9082	33160
430	9101	33134
431	9125	33121
432	9145	33098
433	9171	33092
434	9191	33069
435	9211	33044
436	9229	33012
437	9248	32982
438	9266	32950
439	9289	32935
440	9307	32902
441	9324	32868
442	9342	32835
443	9361	32806
444	9381	32781
445	9400	32754
446	9418	32722
447	9435	32688
448	9453	32657
449	9471	32624
450	9489	32592
451	9507	32559
452	9526	32533
453	9550	32522
454	9570	32499
455	9595	32491
456	9617	32471
457	9636	32444
458	9656	32419
459	9675	32392
460	9694	32362
461	9715	32341
462	9734	32314
463	9754	32289
464	9776	32274
465	9798	32254
466	9817	32228
467	9836	32199
468	9855	32173
469	9875	32147
470	9895	32124
471	9917	32106
472	9943	32100
473	9963	32075
474	9981	32047
475	10001	32021
476	10018	31989
477	10036	31956
478	10054	31926
479	10073	31900
480	10093	31874
481	10115	31856
482	10134	31831
483	10154	31804
484	10172	31776
485	10192	31750
486	10211	31725
487	10230	31698
488	10255	31690
489	10274	31661
490	10295	31640
491	10313	31612
492	10332	31583
493	10352	31561
494	10371	31532
495	10391	31509
496	10412	31487
497	10431	31460
498	10449	31432
499	10468	31406
500	10488	31381
501	10506	31351
502	10525	31324
503	10546	31305
504	10563	31272
505	10581	31241
506	10601	31218
507	10621	31196
508	10639	31165
509	10656	31133
510	10674	31104
511	10692	31074
512	10713	31053
513	10733	31030
514	10752	31004
515	10770	30974
516	10788	30947
517	10808	30921
518	10828	30899
519	10851	30886
520	10872	30864
521	10895	30848
522	10915	30825
523	10935	30802
524	10961	30795
525	10983	30778
526	11005	30762
527	11026	30740
528	11046	30716
529	11066	30693
530	11085	30667
531	11109	30654
532	11129	30632
533	11150	30610
534	11170	30587
535	11190	30564
536	11209	30539
537	11228	30514
538	11248	30490
539	11268	30466
540	11289	30446
541	11308	30420
542	11328	30396
543	11348	30374
544	11367	30348
545	11386	30323
546	11420	30337
547	11441	30316
548	11464	30300
549	11486	30282
550	11508	30265
551	11528	30241
552	11547	30214
553	11566	30189
554	11585	30164
555	11607	30146
556	11628	30126
557	11648	30103
558	11669	30080
559	11692	30065
560	11710	30038
561	11728	30009
562	11745	29980
563	11763	29950
564	11782	29924
565	11800	29896
566	11817	29866
567	11835	29838
568	11854	29813
569	11875	29792
570	11895	29769
571	11914	29744
572	11933	29719
573	11952	29693
574	11971	29669
575	11991	29646
576	12010	29619
577	12027	29590
578	12044	29561
579	12063	29534
580	12081	29507
581	12110	29505
582	12133	29489
583	12153	29468
584	12174	29448
585	12197	29431
586	12215	29404
587	12233	29376
588	12252	29351
589	12271	29326
590	12292	29306
591	12310	29278
592	12328	29252
593	12348	29229
594	12367	29204
595	12387	29181
596	12409	29163
597	12429	29140
598	12446	29111
599	12464	29083
600	12482	29055
601	12500	29028
602	12518	29001
603	12537	28976
604	12554	28948
605	12574	28925
606	12593	28901
607	12618	28889
608	12649	28892
609	12670	28873
610	12691	28851
611	12711	28829
612	12732	28809
613	12753	28789
614	12776	28773
615	12803	28766
616	12826	28750
617	12849	28733
618	12871	28716
619	12893	28699
620	12914	28677
621	12941	28670
622	12961	28649
623	12981	28626
624	13000	28601
625	13020	28579
626	13045	28566
627	13066	28545
628	13085	28522
629	13104	28497
630	13127	28480
631	13146	28455
632	13164	28429
633	13182	28402
634	13201	28378
635	13221	28355
636	13244	28339
637	13270	28330
638	13293	28314
639	13312	28290
640	13332	28265
641	13350	28239
642	13368	28214
643	13388	28191
644	13407	28166
645	13428	28145
646	13446	28119
647	13466	28095
648	13490	28082
649	13513	28066
650	13532	28042
651	13551	28017
652	13572	27996
653	13590	27971
654	13608	27944
655	13631	27926
656	13651	27905
657	13669	27878
658	13688	27854
659	13707	27830
660	13724	27801
661	13741	27773
662	13760	27748
663	13780	27726
664	13799	27703
665	13817	27675
666	13835	27650
667	13855	27627
668	13874	27603
669	13892	27578
670	13911	27554
671	13929	27526
672	13948	27502
673	13969	27482
674	13988	27458
675	14006	27432
676	14024	27406
677	14042	27380
678	14059	27352
679	14077	27326
680	14094	27299
681	14116	27280
682	14138	27263
683	14159	27242
684	14177	27216
685	14195	27190
686	14213	27165
687	14231	27139
688	14249	27113
689	14269	27091
690	14289	27069
691	14308	27045
692	14327	27021
693	14348	27001
694	14367	26977
695	14387	26955
696	14405	26929
697	14425	26908
698	14444	26885
699	14462	26859
700	14480	26833
701	14498	26806
702	14516	26782
703	14536	26760
704	14554	26735
705	14571	26707
706	14589	26682
707	14606	26655
708	14628	26637
709	14648	26614
710	14665	26588
711	14684	26564
712	14704	26542
713	14722	26516
714	14740	26491
715	14757	26464
716	14775	26439
717	14794	26416
718	14814	26394
719	14834	26372
720	14853	26349
721	14874	26328
722	14894	26307
723	14912	26281
724	14931	26258
725	14951	26236
726	14970	26214
727	14988	26188
728	15005	26162
729	15024	26138
730	15044	26116
731	15062	26091
732	15079	26065
733	15099	26043
734	15118	26020
735	15136	25994
736	15153	25968
737	15171	25942
738	15188	25917
739	15207	25893
740	15226	25870
741	15246	25848
742	15265	25826
743	15285	25805
744	15307	25786
745	15327	25764
746	15347	25743
747	15365	25719
748	15385	25697
749	15403	25672
750	15423	25651
751	15442	25627
752	15461	25605
753	15483	25586
754	15503	25564
755	15524	25545
756	15543	25522
757	15561	25497
758	15579	25472
759	15596	25447
760	15615	25423
761	15635	25402
762	15658	25385
763	15681	25368
764	15700	25346
765	15719	25324
766	15739	25302
767	15758	25279
768	15776	25254
769	15795	25232
770	15813	25207
771	15832	25183
772	15857	25170
773	15880	25153
774	15900	25132
775	15925	25119
776	15944	25096
777	15965	25076
778	15984	25054
779	16003	25031
780	16023	25010
781	16042	24987
782	16063	24967
783	16082	24943
784	16100	24919
785	16119	24896
786	16138	24874
787	16161	24857
788	16182	24837
789	16201	24815
790	16221	24794
791	16242	24773
792	16264	24756
793	16286	24737
794	16307	24717
795	16333	24705
796	16353	24684
797	16374	24663
798	16396	24645
799	16418	24627
800	16443	24614
801	16466	24597
802	16498	24593
803	16523	24579
804	16549	24567
805	16572	24550
806	16596	24534
807	16618	24516
808	16639	24496
809	16666	24484
810	16694	24475
811	16719	24460
812	16742	24443
813	16762	24422
814	16784	24404
815	16807	24386
816	16830	24370
817	16852	24351
818	16874	24332
819	16894	24311
820	16919	24297
821	16944	24282
822	16965	24262
823	16984	24239
824	17002	24215
825	17021	24192
826	17039	24167
827	17057	24144
828	17075	24120
829	17094	24097
830	17114	24075
831	17132	24051
832	17155	24034
833	17180	24019
834	17202	24000
835	17221	23977
836	17242	23958
837	17263	23938
838	17285	23919
839	17306	23899
840	17326	23878
841	17346	23856
842	17369	23839
843	17389	23817
844	17409	23796
845	17430	23776
846	17453	23759
847	17473	23738
848	17493	23715
849	17512	23693
850	17543	23686
851	17562	23663
852	17581	23641
853	17600	23619
854	17619	23595
855	17639	23573
856	17657	23550
857	17676	23527
858	17694	23503
859	17717	23485
860	17737	23465
861	17758	23443
862	17777	23422
863	17799	23403
864	17819	23381
865	17841	23362
866	17861	23340
867	17879	23317
868	17899	23296
869	17919	23274
870	17939	23253
871	17960	23233
872	17981	23212
873	18000	23189
874	18018	23166
875	18038	23144
876	18057	23122
877	18077	23101
878	18096	23078
879	18115	23056
880	18135	23035
881	18157	23016
882	18182	23000
883	18202	22979
884	18221	22957
885	18240	22934
886	18259	22912
887	18279	22890
888	18298	22867
889	18317	22845
890	18337	22824
891	18365	22812
892	18385	22791
893	18406	22771
894	18436	22762
895	18471	22759
896	18501	22749
897	18521	22729
898	18540	22706
899	18559	22684
900	18581	22664
901	18599	22640
902	18618	22618
903	18638	22597
904	18658	22575
905	18680	22556
906	18702	22538
907	18721	22515
908	18742	22494
909	18763	22474
910	18783	22454
911	18803	22432
912	18821	22408
913	18842	22387
914	18862	22366
915	18881	22344
916	18901	22322
917	18920	22300
918	18939	22278
919	18958	22256
920	18978	22234
921	19000	22215
922	19019	22193
923	19038	22170
924	19057	22147
925	19075	22123
926	19094	22102
927	19114	22080
928	19134	22059
929	19154	22037
930	19173	22015
931	19197	21998
932	19218	21978
933	19238	21957
934	19261	21939
935	19284	21921
936	19307	21904
937	19328	21883
938	19347	21861
939	19366	21839
940	19386	21817
941	19404	21794
942	19426	21774
943	19444	21751
944	19464	21730
945	19483	21707
946	19505	21688
947	19526	21668
948	19546	21646
949	19564	21624
950	19587	21606
951	19606	21583
952	19626	21561
953	19644	21538
954	19662	21515
955	19680	21492
956	19703	21474
957	19723	21452
958	19742	21430
959	19762	21409
960	19780	21386
961	19799	21363
962	19817	21340
963	19836	21318
964	19854	21294
965	19882	21282
966	19905	21264
967	19928	21245
968	19948	21224
969	19971	21206
970	19991	21186
971	20010	21163
972	20028	21139
973	20046	21116
974	20064	21093
975	20083	21070
976	20103	21050
977	20124	21029
978	20145	21009
979	20193	21017
980	20218	21001
981	20241	20983
982	20264	20965
983	20291	20950
984	20316	20934
985	20339	20917
986	20363	20899
987	20389	20884
988	20413	20867
989	20436	20849
990	20462	20833
991	20483	20813
992	20521	20811
993	20544	20793
994	20565	20772
995	20586	20752
996	20616	20740
997	20641	20724
998	20668	20710
999	20694	20694
1000	20720	20679
1001	20743	20660
1002	20764	20640
1003	20787	20621
1004	20810	20603
1005	20836	20587
1006	20860	20570
1007	20884	20552
1008	20906	20533
1009	20931	20517
1010	20956	20500
1011	20979	20481
1012	21004	20465
1013	21029	20448
1014	21049	20427
1015	21071	20407
1016	21107	20401
1017	21139	20392
1018	21163	20374
1019	21191	20360
1020	21216	20343
1021	21242	20327
1022	21294	20336
1023	21399	20396
1024	21441	20395
1025	21507	20417
1026	21541	20408
1027	21569	20394
1028	21594	20377
1029	21622	20362
1030	21644	20342
1031	21668	20324
1032	21693	20307
1033	21717	20289
1034	21743	20272
1035	21764	20251
1036	21787	20232
1037	21812	20215
1038	21840	20200
1039	21864	20182
1040	21888	20164
1041	21915	20148
1042	21940	20131
1043	21970	20118
1044	21995	20101
1045	22019	20083
1046	22049	20069
1047	22076	20054
1048	22106	20041
1049	22134	20026
1050	22159	20009
1051	22185	19991
1052	22209	19973
1053	22238	19960
1054	22263	19942
1055	22289	19925
1056	22318	19911
1057	22344	19894
1058	22373	19880
1059	22405	19868
1060	22430	19850
1061	22459	19836
1062	22504	19837
1063	22533	19823
1064	22569	19814
1065	22598	19800
1066	22624	19783
1067	22655	19770
1068	22691	19762
1069	22722	19749
1070	22754	19737
1071	22781	19721
1072	22813	19709
1073	22862	19711
1074	22901	19705
1075	22929	19690
1076	22966	19682
1077	22992	19665
1078	23018	19647
1079	23044	19630
1080	23073	19615
1081	23105	19603
1082	23132	19586
1083	23160	19571
1084	23185	19552
1085	23213	19537
1086	23247	19526
1087	23290	19523
1088	23331	19517
1089	23384	19523
1090	23451	19539
1091	23517	19554
1092	23578	19566
1093	23623	19563
1094	23651	19547
1095	23684	19535
1096	23718	19524
1097	23752	19512
1098	23785	19500
1099	23814	19484
1100	23844	19469
1101	23875	19455
1102	23905	19440
1103	23940	19430
1104	23973	19417
1105	24002	19401
1106	24034	19388
1107	24060	19369
1108	24090	19354
1109	24134	19350
1110	24165	19336
1111	24216	19338
1112	24246	19323
1113	24280	19310
1114	24310	19296
1115	24350	19288
1116	24391	19281
1117	24436	19278
1118	24478	19272
1119	24523	19268
1120	24590	19282
1121	24635	19278
1122	24663	19260
1123	24697	19248
1124	24723	19229
1125	24750	19210
1126	24782	19196
1127	24814	19182
1128	24840	19163
1129	24862	19141
1130	24885	19121
1131	24912	19102
1132	24940	19084
1133	24962	19063
1134	24985	19042
1135	25008	19020
1136	25034	19001
1137	25060	18982
1138	25086	18963
1139	25115	18946
1140	25142	18928
1141	25168	18909
1142	25196	18891
1143	25218	18869
1144	25241	18848
1145	25271	18832
1146	25302	18817
1147	25326	18796
1148	25361	18783
1149	25390	18766
1150	25421	18751
1151	25451	18735
1152	25495	18728
1153	25543	18725
1154	25576	18711
1155	25605	18694
1156	25639	18680
1157	25669	18664
1158	25700	18648
1159	25735	18636
1160	25765	18619
1161	25800	18606
1162	25829	18589
1163	25854	18568
1164	25880	18549
1165	25904	18528
1166	25928	18507
1167	25963	18494
1168	25992	18477
1169	26027	18463
1170	26068	18454
1171	26102	18441
1172	26140	18430
1173	26169	18411
1174	26195	18392
1175	26250	18393
1176	26281	18377
1177	26311	18360
1178	26335	18338
1179	26368	18323
1180	26417	18319
1181	26458	18310
1182	26487	18292
1183	26525	18281
1184	26549	18259
1185	26572	18237
1186	26594	18214
1187	26614	18191
1188	26637	18169
1189	26657	18145
1190	26677	18121
1191	26700	18098
1192	26720	18075
1193	26740	18051
1194	26765	18030
1195	26790	18009
1196	26812	17987
1197	26833	17963
1198	26853	17939
1199	26874	17916
1200	26893	17891
1201	26913	17867
1202	26933	17843
1203	26954	17820
1204	26973	17795
1205	26997	17774
1206	27030	17759
1207	27058	17740
1208	27083	17719
1209	27104	17696
1210	27128	17674
1211	27151	17653
1212	27175	17631
1213	27197	17609
1214	27218	17585
1215	27239	17562
1216	27261	17539
1217	27284	17517
1218	27315	17500
1219	27336	17477
1220	27357	17454
1221	27380	17432
1222	27402	17409
1223	27425	17387
1224	27446	17364
1225	27466	17340
1226	27486	17316
1227	27506	17292
1228	27528	17269
1229	27550	17247
1230	27570	17223
1231	27591	17199
1232	27611	17175
1233	27632	17152
1234	27653	17129
1235	27673	17105
1236	27693	17081
1237	27714	17058
1238	27734	17034
1239	27756	17011
1240	27777	16989
1241	27802	16967
1242	27825	16945
1243	27852	16926
1244	27872	16902
1245	27894	16880
1246	27916	16857
1247	27938	16834
1248	27960	16811
1249	27981	16788
1250	28005	16767
1251	28026	16744
1252	28048	16721
1253	28069	16698
1254	28090	16675
1255	28111	16651
1256	28131	16628
1257	28152	16604
1258	28172	16581
1259	28193	16557
1260	28213	16534
1261	28233	16510
1262	28255	16488
1263	28278	16465
1264	28304	16445
1265	28328	16424
1266	28349	16401
1267	28371	16378
1268	28392	16355
1269	28414	16332
1270	28435	16309
1271	28455	16285
1272	28476	16262
1273	28497	16239
1274	28518	16216
1275	28536	16191
1276	28558	16168
1277	28578	16145
1278	28597	16121
1279	28616	16096
1280	28634	16072
1281	28653	16047
1282	28671	16023
1283	28691	15999
1284	28712	15976
1285	28730	15951
1286	28753	15929
1287	28772	15905
1288	28791	15880
1289	28811	15857
1290	28829	15833
1291	28854	15811
1292	28876	15789
1293	28895	15765
1294	28914	15741
1295	28934	15717
1296	28954	15694
1297	28973	15670
1298	28993	15645
1299	29011	15621
1300	29032	15598
1301	29052	15575
1302	29075	15553
1303	29096	15529
1304	29117	15507
1305	29142	15486
1306	29164	15463
1307	29189	15442
1308	29210	15419
1309	29230	15396
1310	29252	15373
1311	29271	15349
1312	29292	15326
1313	29312	15303
1314	29338	15282
1315	29366	15263
1316	29392	15243
1317	29418	15222
1318	29447	15203
1319	29474	15184
1320	29500	15163
1321	29525	15142
1322	29546	15119
1323	29567	15096
1324	29587	15072
1325	29607	15049
1326	29625	15025
1327	29646	15001
1328	29670	14980
1329	29689	14956
1330	29707	14931
1331	29728	14908
1332	29763	14892
1333	29785	14870
1334	29809	14849
1335	29835	14828
1336	29856	14805
1337	29881	14784
1338	29914	14767
1339	29946	14749
1340	29971	14728
1341	29995	14707
1342	30019	14685
1343	30044	14664
1344	30067	14642
1345	30088	14619
1346	30113	14598
1347	30138	14577
1348	30167	14558
1349	30190	14536
1350	30212	14513
1351	30234	14491
1352	30255	14467
1353	30275	14444
1354	30295	14421
1355	30319	14399
1356	30346	14379
1357	30367	14356
1358	30389	14333
1359	30411	14311
1360	30436	14289
1361	30459	14268
1362	30487	14248
1363	30524	14232
1364	30553	14213
1365	30595	14200
1366	30635	14186
1367	30660	14164
1368	30687	14144
1369	30709	14121
1370	30733	14100
1371	30755	14077
1372	30776	14054
1373	30798	14032
1374	30821	14009
1375	30851	13990
1376	30877	13970
1377	30904	13949
1378	30931	13929
1379	30958	13908
1380	30988	13889
1381	31017	13870
1382	31043	13849
1383	31068	13828
1384	31094	13807
1385	31118	13785
1386	31145	13764
1387	31168	13742
1388	31197	13723
1389	31226	13703
1390	31249	13681
1391	31271	13658
1392	31291	13635
1393	31312	13612
1394	31333	13589
1395	31358	13567
1396	31378	13544
1397	31398	13520
1398	31424	13499
1399	31448	13477
1400	31469	13454
1401	31492	13432
1402	31516	13410
1403	31536	13387
1404	31556	13363
1405	31580	13341
1406	31605	13320
1407	31627	13297
1408	31647	13274
1409	31672	13253
1410	31694	13230
1411	31715	13207
1412	31736	13184
1413	31757	13161
1414	31777	13137
1415	31798	13114
1416	31821	13092
1417	31846	13071
1418	31871	13049
1419	31898	13028
1420	31921	13006
1421	31943	12984
1422	31966	12961
1423	31991	12940
1424	32019	12920
1425	32042	12897
1426	32064	12875
1427	32089	12853
1428	32110	12830
1429	32133	12808
1430	32155	12785
1431	32178	12763
1432	32207	12743
1433	32240	12725
1434	32263	12702
1435	32288	12681
1436	32311	12659
1437	32333	12636
1438	32358	12615
1439	32385	12594
1440	32411	12573
1441	32436	12551
1442	32461	12530
1443	32490	12510
1444	32515	12488
1445	32539	12466
1446	32562	12444
1447	32588	12423
1448	32618	12403
1449	32643	12382
1450	32670	12361
1451	32697	12340
1452	32719	12317
1453	32740	12294
1454	32761	12271
1455	32782	12248
1456	32803	12225
1457	32825	12202
1458	32851	12181
1459	32876	12159
1460	32899	12137
1461	32920	12114
1462	32944	12092
1463	32966	12069
1464	32988	12047
1465	33008	12023
1466	33028	12000
1467	33047	11976
1468	33067	11953
1469	33090	11930
1470	33110	11907
1471	33131	11883
1472	33150	11860
1473	33172	11837
1474	33191	11813
1475	33210	11790
1476	33231	11767
1477	33251	11743
1478	33270	11720
1479	33294	11698
1480	33318	11676
1481	33338	11652
1482	33363	11631
1483	33384	11607
1484	33403	11584
1485	33424	11561
1486	33444	11537
1487	33476	11518
1488	33498	11496
1489	33519	11473
1490	33542	11450
1491	33568	11429
1492	33596	11408
1493	33618	11386
1494	33640	11363
1495	33666	11342
1496	33687	11319
1497	33711	11297
1498	33734	11274
1499	33755	11251
1500	33776	11228
1501	33803	11207
1502	33831	11187
1503	33868	11169
1504	33900	11149
1505	33927	11128
1506	33951	11106
1507	33982	11087
1508	34009	11066
1509	34035	11044
1510	34067	11025
1511	34091	11003
1512	34117	10981
1513	34144	10960
1514	34177	10941
1515	34207	10921
1516	34233	10899
1517	34255	10877
1518	34279	10854
1519	34309	10834
1520	34333	10812
1521	34357	10790
1522	34384	10769
1523	34407	10746
1524	34435	10725
1525	34460	10704
1526	34485	10682
1527	34510	10660
1528	34539	10639
1529	34563	10617
1530	34588	10595
1531	34614	10574
1532	34637	10551
1533	34657	10528
1534	34680	10505
1535	34702	10482
1536	34725	10460
1537	34750	10438
1538	34774	10416
1539	34796	10393
1540	34827	10373
1541	34856	10352
1542	34886	10332
1543	34910	10310
1544	34934	10288
1545	34957	10265
1546	34980	10243
1547	35005	10221
1548	35031	10199
1549	35058	10178
1550	35083	10156
1551	35110	10135
1552	35133	10112
1553	35158	10090
1554	35183	10068
1555	35213	10047
1556	35246	10028
1557	35271	10006
1558	35293	9983
1559	35314	9960
1560	35334	9937
1561	35355	9914
1562	35376	9891
1563	35403	9869
1564	35425	9846
1565	35453	9825
1566	35477	9803
1567	35499	9780
1568	35521	9757
1569	35544	9735
1570	35570	9713
1571	35593	9690
1572	35616	9668
1573	35641	9646
1574	35672	9625
1575	35694	9603
1576	35714	9579
1577	35736	9556
1578	35757	9533
1579	35778	9510
1580	35797	9487
1581	35816	9463
1582	35836	9440
1583	35857	9417
1584	35878	9393
1585	35902	9371
1586	35924	9348
1587	35944	9325
1588	35965	9302
1589	35984	9279
1590	36008	9256
1591	36032	9234
1592	36057	9212
1593	36081	9190
1594	36104	9167
1595	36131	9145
1596	36154	9123
1597	36176	9100
1598	36197	9077
1599	36216	9054
1600	36235	9030
1601	36255	9007
1602	36279	8984
1603	36301	8962
1604	36324	8939
1605	36345	8916
1606	36366	8893
1607	36386	8870
1608	36411	8848
1609	36432	8825
1610	36452	8802
1611	36473	8779
1612	36495	8756
1613	36516	8733
1614	36538	8710
1615	36559	8687
1616	36581	8664
1617	36601	8641
1618	36621	8618
1619	36640	8594
1620	36662	8571
1621	36692	8550
1622	36716	8528
1623	36738	8505
1624	36760	8483
1625	36781	8460
1626	36801	8436
1627	36824	8414
1628	36845	8391
1629	36867	8368
1630	36888	8345
1631	36913	8323
1632	36940	8301
1633	36963	8279
1634	36989	8257
1635	37037	8240
1636	37065	8219
1637	37090	8197
1638	37122	8176
1639	37150	8154
1640	37177	8133
1641	37201	8110
1642	37226	8088
1643	37255	8067
1644	37280	8045
1645	37306	8023
1646	37327	8000
1647	37353	7978
1648	37382	7957
1649	37411	7935
1650	37434	7913
1651	37459	7891
1652	37487	7869
1653	37525	7849
1654	37552	7828
1655	37574	7805
1656	37595	7782
1657	37616	7759
1658	37639	7736
1659	37662	7714
1660	37685	7691
1661	37709	7668
1662	37731	7646
1663	37752	7623
1664	37770	7599
1665	37788	7575
1666	37806	7552
1667	37825	7528
